,Sc,Lu,Y,Zr,Hf,Ti,Ta,Nb,V,W,Mo,Cr,Mn
Mn,0.7090482160293659,0.7299957546732125,0.8043048695975828,0.7141927120757284,0.7503782882352891,0.7473350074751077,0.9077254077616546,0.8742152268734115,0.8881330657082008,0.9555636528716743,0.9605258699511314,0.9654144187059145,1.0
Cr,0.7064379378743277,0.7364226043367218,0.7760670318971031,0.6938659410369772,0.7703171628612749,0.7621658690137789,0.9257146262279861,0.8860782062506563,0.9136019294993026,0.9489775862763816,0.9500658681222024,1.0,0.9654144187059145
Mo,0.7866694647352142,0.8011616111759534,0.8324412913046663,0.782749494744103,0.8236096896155487,0.7855458014575107,0.9390615874796513,0.9317376316584336,0.8880323727370087,0.9628571762524261,1.0,0.9500658681222024,0.9605258699511314
W,0.7252600127620927,0.7477727607547746,0.8040437875271931,0.7366682076505701,0.7751147652609263,0.7387089671792925,0.9412349730105253,0.8876875372458317,0.8993109634267927,1.0,0.9628571762524261,0.9489775862763816,0.9555636528716743
V,0.7493681261728792,0.7435363716424714,0.7644044877155038,0.7509524474791364,0.802394951148339,0.8864232636958115,0.9587742213406782,0.9277100044275268,1.0,0.8993109634267927,0.8880323727370087,0.9136019294993026,0.8881330657082008
Nb,0.8748616162076582,0.8481905114328158,0.8380297564882669,0.8538882076225345,0.9052648097831694,0.9166207968809851,0.9663261502738901,1.0,0.9277100044275268,0.8876875372458317,0.9317376316584336,0.8860782062506563,0.8742152268734115
Ta,0.8122384600096062,0.801270003187767,0.8129431875521922,0.8064924968224889,0.8625739183369476,0.8875807097174336,1.0,0.9663261502738901,0.9587742213406782,0.9412349730105253,0.9390615874796513,0.9257146262279861,0.9077254077616546
Ti,0.8763736922718625,0.8101901857784648,0.797690494030371,0.8386741667424775,0.86900804216816,1.0,0.8875807097174336,0.9166207968809851,0.8864232636958115,0.7387089671792925,0.7855458014575107,0.7621658690137789,0.7473350074751077
Hf,0.8882490159642998,0.9040945458318085,0.8187751339143885,0.8323434138090428,1.0,0.86900804216816,0.8625739183369476,0.9052648097831694,0.802394951148339,0.7751147652609263,0.8236096896155487,0.7703171628612749,0.7503782882352891
Zr,0.8762654838947755,0.8411392910553719,0.8982155275459619,1.0,0.8323434138090428,0.8386741667424775,0.8064924968224889,0.8538882076225345,0.7509524474791364,0.7366682076505701,0.782749494744103,0.6938659410369772,0.7141927120757284
Y,0.8958348577076441,0.8889471724141218,1.0,0.8982155275459619,0.8187751339143885,0.797690494030371,0.8129431875521922,0.8380297564882669,0.7644044877155038,0.8040437875271931,0.8324412913046663,0.7760670318971031,0.8043048695975828
Lu,0.914949594800249,1.0,0.8889471724141218,0.8411392910553719,0.9040945458318085,0.8101901857784648,0.801270003187767,0.8481905114328158,0.7435363716424714,0.7477727607547746,0.8011616111759534,0.7364226043367218,0.7299957546732125
Sc,1.0,0.914949594800249,0.8958348577076441,0.8762654838947755,0.8882490159642998,0.8763736922718625,0.8122384600096062,0.8748616162076582,0.7493681261728792,0.7252600127620927,0.7866694647352142,0.7064379378743277,0.7090482160293659
